Industry,NAICS,Q1_r5_p,Q1_r5_p_se,Q1_r5_estab,Q1_r5_estab_se,Q1_r5_pemp,Q1_r5_pemp_se,Q1_r5_emp,Q1_r5_emp_se,Q1_r6_p,Q1_r6_p_se,Q1_r6_estab,Q1_r6_estab_se,Q1_r6_pemp,Q1_r6_pemp_se,Q1_r6_emp,Q1_r6_emp_se,Q1_r7_p,Q1_r7_p_se,Q1_r7_estab,Q1_r7_estab_se,Q1_r7_pemp,Q1_r7_pemp_se,Q1_r7_emp,Q1_r7_emp_se,Q1_r8_p,Q1_r8_p_se,Q1_r8_estab,Q1_r8_estab_se,Q1_r8_pemp,Q1_r8_pemp_se,Q1_r8_emp,Q1_r8_emp_se,Q1_r9_p,Q1_r9_p_se,Q1_r9_estab,Q1_r9_estab_se,Q1_r9_pemp,Q1_r9_pemp_se,Q1_r9_emp,Q1_r9_emp_se,Q1_r12_p,Q1_r12_p_se,Q1_r12_estab,Q1_r12_estab_se,Q1_r12_pemp,Q1_r12_pemp_se,Q1_r12_emp,Q1_r12_emp_se
Truck Transportation,484,16.65,1.74,22077.0,2307.0,20.24,2.45,311123.0,37585.0,62.74,2.65,83167.0,3512.0,62.93,2.41,967237.0,37035.0,9.22,1.29,12224.0,1708.0,17.64,2.09,271077.0,32148.0,23.28,2.63,30861.0,3488.0,17.03,2.4,261822.0,36961.0,3.66,0.99,4855.0,1311.0,3.96,1.85,60795.0,28467.0,19.66,2.12,26065.0,2817.0,17.97,2.02,276118.0,31092.0
Information,51,16.01,1.98,27960.0,3465.0,17.11,3.38,492468.0,97260.0,57.3,2.54,100080.0,4433.0,49.0,3.45,1410690.0,99340.0,10.91,1.78,19055.0,3114.0,22.41,3.49,645121.0,100501.0,6.78,1.71,11836.0,2986.0,8.23,3.32,236938.0,95669.0,14.32,1.99,25007.0,3473.0,29.36,3.29,845205.0,94636.0,22.73,2.22,39708.0,3882.0,14.43,2.83,415492.0,81402.0
Finance and Insurance,52,13.1,0.86,63144.0,4156.0,14.6,1.71,885329.0,103975.0,41.33,1.45,199265.0,6980.0,30.45,2.03,1846326.0,123383.0,11.45,1.06,55216.0,5123.0,14.74,1.54,893939.0,93306.0,1.39,0.3,6716.0,1435.0,1.21,1.16,73213.0,70456.0,6.96,0.82,33556.0,3977.0,8.26,1.63,500625.0,98712.0,35.92,1.45,173181.0,7014.0,42.0,1.97,2546559.0,119551.0
Real Estate and Rental and Leasing,53,23.63,1.44,95103.0,5776.0,27.67,1.76,640793.0,40703.0,40.55,1.75,163203.0,7060.0,43.61,2.21,1010070.0,51197.0,10.36,1.03,41674.0,4165.0,11.22,1.66,259887.0,38524.0,5.22,0.83,21028.0,3324.0,5.27,1.28,122033.0,29647.0,14.44,1.31,58113.0,5287.0,16.72,1.61,387256.0,37221.0,29.4,1.54,118324.0,6179.0,24.82,1.77,574933.0,41093.0
Professional and Technical Services,54,15.56,0.62,185633.0,7432.0,20.61,1.57,1980953.0,150754.0,52.58,0.87,627238.0,10405.0,50.17,1.85,4822797.0,178122.0,8.67,0.46,103401.0,5464.0,10.97,1.59,1054806.0,152863.0,6.98,0.49,83228.0,5796.0,8.29,1.16,797220.0,111386.0,11.85,0.57,141413.0,6763.0,20.32,1.66,1953322.0,159803.0,28.27,0.79,337189.0,9372.0,25.41,1.72,2443098.0,164889.0
Management of Companies and Enterprises,55,25.38,2.18,16991.0,1459.0,28.09,2.74,681514.0,66581.0,36.27,2.17,24283.0,1454.0,41.99,2.63,1018623.0,63857.0,12.6,1.93,8434.0,1292.0,16.79,2.48,407274.0,60046.0,9.17,1.47,6137.0,987.0,9.87,2.56,239419.0,62014.0,15.0,1.8,10044.0,1202.0,19.21,2.58,465934.0,62642.0,39.15,2.44,26209.0,1632.0,30.83,2.62,747970.0,63587.0
Administrative and Waste Services,56,28.61,1.27,151865.0,6714.0,35.83,2.24,3362707.0,210138.0,56.35,1.45,299058.0,7675.0,59.6,2.15,5592904.0,201432.0,13.32,0.97,70707.0,5123.0,19.2,1.93,1801580.0,181576.0,6.02,0.69,31961.0,3663.0,7.38,1.86,692110.0,174311.0,12.15,1.0,64472.0,5324.0,14.73,2.05,1382370.0,192671.0,21.0,1.09,111446.0,5782.0,17.5,1.53,1642177.0,143238.0
Educational Services,61,16.53,1.68,20182.0,2048.0,27.65,2.37,820918.0,70229.0,62.3,2.62,76083.0,3204.0,44.79,2.37,1329901.0,70391.0,7.26,1.71,8868.0,2087.0,7.21,1.83,213973.0,54482.0,3.2,1.46,3913.0,1782.0,3.87,1.77,114974.0,52431.0,40.19,2.72,49081.0,3325.0,41.42,2.5,1229863.0,74108.0,12.57,2.11,15351.0,2576.0,14.17,2.22,420867.0,65805.0
Health Care,621-623,64.16,0.56,447520.0,3935.0,73.59,1.04,11965064.0,168928.0,64.18,0.56,447652.0,3897.0,66.41,1.01,10797610.0,164356.0,12.76,0.39,88991.0,2695.0,20.85,1.0,3389604.0,162579.0,8.75,0.34,61010.0,2354.0,7.27,0.53,1182318.0,85611.0,26.54,0.52,185162.0,3618.0,16.32,0.88,2652964.0,142976.0,7.9,0.32,55111.0,2264.0,5.77,0.58,938780.0,94716.0
Social Assistance,624,40.34,5.76,85544.0,12217.0,52.63,1.73,1782208.0,58697.0,38.72,1.74,82093.0,3679.0,49.61,1.93,1680118.0,65311.0,22.6,5.68,47917.0,12039.0,23.8,1.72,805973.0,58144.0,3.58,0.68,7589.0,1434.0,5.33,0.95,180496.0,32215.0,25.73,5.68,54551.0,12038.0,24.62,1.7,833684.0,57606.0,18.13,5.7,38440.0,12092.0,10.65,1.35,360779.0,45659.0
"Arts, Entertainment, and Recreation",71,26.94,2.59,39751.0,3827.0,24.0,1.96,585756.0,47874.0,59.93,2.69,88415.0,3967.0,59.13,2.26,1443280.0,55175.0,8.93,1.78,13175.0,2629.0,8.08,2.02,197311.0,49235.0,5.54,1.19,8167.0,1762.0,3.52,1.48,86024.0,36229.0,47.86,2.53,70614.0,3725.0,65.73,2.45,1604339.0,59916.0,7.25,1.66,10703.0,2447.0,2.75,1.44,67037.0,35190.0
Accommodation and Food Services,72,49.61,0.56,351946.0,3961.0,50.14,0.85,7114865.0,120770.0,71.21,0.5,505162.0,3548.0,74.39,0.72,10555690.0,101538.0,9.93,0.31,70470.0,2202.0,10.7,0.54,1517843.0,77327.0,8.75,0.32,62041.0,2280.0,7.93,0.54,1125679.0,77056.0,36.16,0.53,256531.0,3764.0,40.34,0.86,5724037.0,122061.0,5.31,0.25,37701.0,1770.0,4.41,0.44,625533.0,63046.0
"Other Services, Except Public Administration",81,36.02,1.15,212636.0,6810.0,37.14,1.54,1595515.0,66364.0,58.25,1.17,343849.0,6921.0,61.95,1.4,2661326.0,59990.0,10.36,0.71,61159.0,4184.0,11.66,1.1,500864.0,47113.0,9.22,0.67,54451.0,3958.0,8.73,1.1,375103.0,47207.0,28.31,1.02,167097.0,6033.0,33.42,1.38,1435679.0,59080.0,12.42,0.72,73288.0,4258.0,9.38,0.86,403166.0,37076.0
